sentence,correct_phonemes,incorrect_phonemes,incorrect_phonemes_list,per,has_loanword,duration_seconds,total_expected_phonemes,total_recognized_phonemes
Wer ersetzt mir das?,11,5,"ɐ→ɾ, ɛː→ɛ, ɐ→ɾ, -t, æ→ɾ",0.3125,False,1.26953125,16,15
Bist du meine Mutter oder was?,15,5,"+t, ː→uː, ʊ→u, ɐ→ɜ, ɐ→ɜ",0.2631578947368421,False,1.990234375,19,20
Abwarten und Tee trinken.,17,3,"ʁ→ɾ, iː→eː, ʁ→ɾ",0.15,False,2.01953125,20,20
Davon ausgenommen sind natürlich Phasen wie Winterschlaf und Winterruhe.,40,18,"a→ɑː, -a, o→aʊ, -m, yː→y, ʁ→ɾ, aː→ɑː, +ə, n̩→n, -ɛ, -ɾ, -s, t→ɜ, s→ʃ, ɑ→ɑː, tʰ→t, ɐ→ɜ, ʁ→r",0.3157894736842105,False,5.37109375,57,53
"Waldpool, hat das eigentlich jemand gelesen? Wie cool ist das denn?",44,5,"pʰ→p, -ə, ɪ→aɪ, ɛ→ə, +k",0.10416666666666667,True,4.51953125,48,48
Was machst du da? Spielen.,14,3,"+uː, ː→d, ː→ɑː",0.1875,False,1.990234375,16,17
"Jetzt heißt es Klinken putzen, was das Zeug hält.",30,8,"-t, eː→ɛ, -n, -t, s→ts, -t, s→ts, ɔ→aʊ",0.21052631578947367,False,3.240234375,38,34
"Tja, das waren die guten, alten Zeiten!",20,9,"aː→a, aː→ɑː, +r, ɐ→ə, n̩→ə, t→n, s→ts, -ə, iː→aɪ",0.32142857142857145,False,2.970703125,28,28
"Sie wird dir lauter Dinge in dein Ohr säuseln, die dich schmeicheln sollen.",38,12,"+ɾ, ʁ→t, ɐ→ɾ, ɐ→ɜ, +ɛ, aɪ→ɾ, ɐ→ɾ, -ɔ, ø→aʊ, ɛ→ə, -l, -l",0.25,False,4.73046875,48,47
Kennst du dich hiermit aus?,13,5,"n→s, s→t, t→d, ː→uː, ɐ→ɾ",0.2777777777777778,False,2.189453125,18,18
"Das jahrelange Training, die hohen Investitionen und das Anlesen von Wissen?",47,11,"ɑ→ɑː, ɾ→r, e→ə, ʁ→r, eː→ɛ, i→iː, t→ts, s→j, -i, +ə, n̩→n",0.19298245614035087,True,5.8203125,57,57
"Es gehört weniger Mut dazu, der allein Tadelnde, als der allein Lobende zu sein.",40,20,"eː→ɛ, øː→œ, ɐ→ɾ, ə→eː, ɐ→ɜ, ɑː→a, -t, s→ts, u→uː, eː→ɛ, ɐ→ɾ, ɛ→ə, l→ə, eː→ɛ, ɐ→ɾ, p→b, ɛ→ə, e→ə, -t, s→ts",0.3333333333333333,False,5.8984375,60,58
Es zieht.,3,3,"eː→ɛ, -t, s→ts",0.5,False,0.669921875,6,5
Die andere Beteiligte konnte mit leichten Blessuren abtransportiert werden.,50,11,"ʀ→r, -a, e→aɪ, -a, e→aɪ, +r, ɐ→ə, eː→ɛ, ɐ→ɾ, +ə, n̩→n",0.1864406779661017,False,5.25,59,59
"Mediterrane Ernährung ist nicht nur Olivenöl, Fischspeisen und Fetakäse.",38,20,"e→eː, i→iː, ɛ→eː, -ɾ, ɾ→r, a→ɑː, ɛː→ɛ, ɐ→ɾ, ɛ→eː, ɾ→r, +t, -ɐ, ɔ→oː, øː→yː, +ʃ, aj→aɪ, +t, tʰ→ɑː, a→ɾ, cʰ→k",0.36363636363636365,False,5.58984375,55,56
"Fragst du zwei Experten, kriegst du drei Meinungen.",29,10,"ɾ→r, +ɑː, ː→uː, t→ts, -s, ʁ→ɾ, ː→uː, ʁ→r, -ə, ɪ→aɪ",0.2631578947368421,False,3.2890625,38,37
"In dem Strampelanzug sieht man lächerlich aus, aber er ist übelst bequem.",45,11,"ʁ→ɾ, pʰ→p, +n, ɐ→ɜ, -e, ɾ→ɜ, eː→ɛ, ɐ→ɾ, yː→uː, -u, ə→eː",0.2,False,4.9609375,55,54
Demnach sind die heiligen Reliquien völlig unzureichend geschützt.,34,19,"ɛ→eː, a→ɑː, ə→h, iː→aɪ, ʁ→r, ɛ→eː, ɪ→iː, v→f, -l, ç→ɡ, ʊ→uː, -t, s→ts, ɾ→r, -a, e→aɪ, ɛ→ə, t→y, s→ts",0.3584905660377358,False,5.19921875,53,50
Geh erst mal nach Hause und schlaf dich aus!,24,6,"ɟ→ɡ, +t, aː→ɑː, aː→a, -a, o→aʊ",0.20689655172413793,False,2.880859375,29,29
In unserer Hightech-Strategie haben wir uns ja immer wieder angeschaut: In welchen Bereichen passieren nach menschlichem Ermessen die nächsten großen Innovationsschritte?,90,35,"ɐ→ə, ɐ→r, h→ɜ, ɪ→h, k→aɪ, ç→k, ʀ→ɾ, e→ə, aː→ɑː, ɐ→ɾ, +j, ː→ɑː, ɐ→ɜ, ɐ→ɜ, -a, o→aʊ, ɾ→r, -a, e→aɪ, +n, ʁ→r, e→ə, aː→a, -s, ç→ʃ, ç→ʃ, ɛː→ɛ, ɐ→ɾ, -z, ç→k, oː→ʊ, -t, s→ts, ç→ʃ, ʁ→ɾ",0.2845528455284553,False,10.203125,123,120
"Kannst du mir bitte sagen, wie ich weiter vorgehen soll?",28,10,"t→d, ː→uː, æ→ɾ, aː→ɑː, -ə, iː→aɪ, ɐ→ɜ, ɐ→ɾ, ə→eː, -h",0.2631578947368421,False,3.44921875,38,36
Ein altes Sprichwort aus dem Volksmund überbringt uns diese Weisheit.,42,12,"-ɛ, ɪ→aɪ, ʀ→ɾ, ʁ→ɾ, v→f, yː→y, -ɛ, ɾ→ɜ, ʁ→r, i→iː, -ə, s→z",0.2222222222222222,False,5.23046875,54,51
Warum nicht?,7,2,"ʀ→r, uː→ʊ",0.2222222222222222,False,0.7099609375,9,9
Der Trainer hat uns beim Krafttraining kopfrechnen lassen.,33,13,"eː→ɛ, ɐ→ɾ, t→ɾ, ɾ→t, ɑ→r, ɪ→eː, ɐ→ɑː, ʁ→ɾ, +t, +ɾ, ʁ→r, ɾ→r, -z",0.29545454545454547,True,3.580078125,44,45
"Ich finde, du hast gut gekocht.",18,5,"+d, ː→uː, +t, -., χ→x",0.23809523809523808,False,2.44921875,21,22
Etwa neunzehnhundertsieben endete die Produktion.,32,9,"ɑ→ɑː, -ɔ, ø→aɪ, t→ts, -s, s→z, o→oː, t→ts, s→j",0.21951219512195122,False,4.19140625,41,39
Infos senden,10,1,o→uː,0.09090909090909091,False,1.33984375,11,11
Genaueres weiß ich dazu nicht.,16,6,"a→aʊ, o→ə, ɐ→r, -t, s→ts, u→uː",0.2727272727272727,False,2.0390625,22,21
Wir werden ihn schmerzlich vermissen.,19,9,"ɐ→ɾ, eː→ɛ, ɐ→ɾ, +ə, n̩→n, -t, s→ts, ɛː→ɛ, ɐ→ɾ",0.3333333333333333,False,2.240234375,27,27
Was fällt Ihnen ein?,11,3,"i→iː, -ɛ, ɪ→aɪ",0.21428571428571427,False,1.400390625,14,13
"Mit dem Raumschiff, bitte!",15,1,ʁ→r,0.0625,False,1.98046875,16,16
Meine Tochter werde ich nicht Brunhilde nennen.,30,4,"ɐ→ɜ, ʁ→r, ʊ→uː, +h",0.12121212121212122,False,2.80078125,33,34
"Ja, warum denn bitteschön nicht?",16,5,"+j, ː→ɑː, ʀ→r, uː→ʊ, ɛ→ə",0.25,False,2.01953125,20,21
Neunhundert Euro sind kein Pappenstiel.,20,10,"ɔ→oɪ, ø→n, n→h, -ɛ, ɾ→ɜ, ɔ→aɪ, ʁ→r, -p, ɛ→ə, s→ʃ",0.3333333333333333,False,2.94921875,30,28
"Das heißt, wir haben heute schon eine Situation, in der die erneuerbaren Energien die größte Säule unserer Energiewirtschaft sind.",72,27,"ɐ→ɾ, aː→ɑː, ɔ→aʊ, ɪ→iː, tʰ→t, ʊ→uː, +w, t→ts, s→ts, ɐ→ɾ, ɐ→ɾ, ɔ→aʊ, +j, ɐ→ɜ, aː→ɑː, ʁ→r, e→ɪ, œ→yː, -ɔ, ɪ→aʊ, ɐ→ə, +r, ɐ→ə, eː→ɛ, ʁ→ɾ, ɟ→ɡ, ʁ→ɾ",0.28125,False,8.15625,96,98
Im Handschuhfach müsste ein Eiskratzer liegen.,25,7,"+y, -ɛ, ɪ→aɪ, aj→aɪ, ʁ→r, ɐ→ɛ, +ɾ",0.23333333333333334,False,3.109375,30,31
Ein kurzer Blick auf die Blitztabelle zeigt: Es ist noch alles drin.,38,11,"-ɛ, ɪ→aɪ, -t, s→ts, ɐ→ɜ, -t, s→ts, -t, s→ts, eː→ɛ, ʁ→r",0.22448979591836735,False,4.44140625,49,45
"Pilze wachsen schneller, wenn es warm ist.",21,8,"-t, s→ts, +ə, n̩→n, ɐ→ə, eː→ɛ, ʁ→ɾ, -t",0.2857142857142857,False,2.470703125,28,27
Irgendein Opa hat mal wieder Gas und Bremse verwechselt.,31,13,"ʁ→ɾ, +ə, n̩→n, a→ɑː, aː→a, ɐ→ɛ, +ɾ, aː→a, ʁ→ɾ, m→n, ɛː→ɛ, ɐ→ɾ, ɛ→ə",0.30952380952380953,False,3.76953125,42,44
"Aha, die machen Party und wir sind die Abteilung, die nicht eingeladen wurde.",49,8,"j→iː, ɐ→ɾ, -ə, iː→aɪ, +k, -a, e→aɪ, ʊ→uː",0.14285714285714285,True,5.109375,56,55
Lass uns das mal schnell erledigen.,22,3,"aː→a, ɛː→ɛ, ɐ→ɾ",0.12,False,2.009765625,25,25
Aber letztlich geht es genau darum: Um Köpfe und um Geld.,31,11,"-e, ɾ→ɜ, -t, s→ts, e→iː, eː→ɛ, a→ɑː, ɾ→r, uː→ʊ, -ʊ, œ→ə",0.2619047619047619,False,4.44140625,42,39
Auch bei feuchtem Wetter nicht.,16,4,"-ɔ, ø→aʊ, -k, ɐ→ɜ",0.2,False,1.8896484375,20,18
"Wir werden in der Tendenz im Durchschnittsalter älter, das ist richtig, wir werden auch weniger werden, und wir werden auch mehr Menschen mit Mirgrationshintergrund haben.",89,45,"ɐ→ɾ, eː→ɛ, ɐ→ɾ, +ə, n̩→n, eː→ɛ, ɐ→ɾ, e→ɛ, -t, s→ts, ʊ→uː, -t, -s, s→ʃ, -t, -s, -t, t→ts, -z, ɐ→ɜ, ɐ→ɜ, ʀ→ɾ, ç→k, ɐ→ɾ, eː→ɛ, ɐ→ɾ, +ə, n̩→n, ə→eː, ɐ→ɜ, eː→ɛ, ɐ→ɾ, +ə, n̩→n, ɐ→ɾ, eː→ɛ, ɐ→ɾ, +ə, n̩→n, ɐ→ɾ, -z, ç→ʃ, -t, s→ts, aː→ɑː",0.34615384615384615,False,10.640625,130,125
Die Milchstraße hat eine Spiralform.,22,6,"k→ç, s→ʃ, ɪ→iː, ʁ→r, aː→ɑː, ʁ→ɾ",0.21428571428571427,False,3.23046875,28,28
"Eine Methodik und so weiter und so weiter, et cetera, et cetera.",25,23,"ɛ→e, o→oː, i→ɪ, -ə, iː→aɪ, ɐ→ɜ, -ə, iː→aɪ, ɐ→ə, -eː, t→b, t→eː, eː→ɛ, e→ɛ, ɾ→r, ɑ→a, eː→ɪ, -t, -t, eː→ɛ, e→ɛ, ɾ→r, ɑ→a",0.4791666666666667,False,5.33984375,48,43
"Wir wollen die Zeit nutzen, um anschließend den Menschen deutlich zu machen: Wir haben alles daran gesetzt, um der Globalisierung ein menschlicheres Gesicht zu geben.",93,35,"ɐ→ɾ, -t, s→ts, -a, e→aɪ, t→ts, s→ə, ə→n, -z, ç→ʃ, -ɔ, ø→aʊ, -t, s→ts, uː→ʊ, ɐ→ɾ, +h, aː→ɑː, ʁ→r, -t, s→ts, eː→ɛ, ɐ→ɾ, o→oː, ɑ→a, i→iː, -ɐ, ɛ→k, ɪ→aɪ, -s, ç→ʃ, ɐ→ə, +r, -t, s→ts",0.2777777777777778,False,9.8828125,126,119
Sie stecken wahnsinnig viel Energie in das Projekt.,33,5,"+t, ç→ɡ, eː→ɛ, ʁ→ɾ, oː→o",0.13513513513513514,True,3.140625,37,38
Als Folge der Urbanisierung mangelt es an bezahlbarem Wohnraum in Großstädten.,45,17,"eː→ɛ, ɐ→ɾ, ʊ→uː, ʁ→ɾ, ɪ→iː, ʁ→r, ɛ→ə, eː→ɛ, -t, s→ts, ɑ→ɑː, a→ɑː, ɽ→r, o→oː, ɾ→r, -a, o→aʊ",0.27419354838709675,False,6.55859375,62,60
Ich möchte jetzt endlich losfahren!,20,7,"œ→ɛ, -., tʰ→t, -t, oː→uː, ɑ→a, ɾ→r",0.25925925925925924,False,2.26953125,27,25
In den Wartezimmer-Zeitschriften steht nur Belangloses.,30,14,"e→ə, -t, s→ts, -m, -ɐ, t→ɜ, s→ts, a→aɪ, e→t, tʃ→ʃ, ɾ→r, e→eː, ɐ→ɾ, s→z",0.3181818181818182,False,3.7109375,44,41
Die beiden werden bestimmt schwer.,17,9,"-d, -ə, iː→aɪ, eː→ɛ, ɐ→ɾ, +ə, n̩→n, -m, ɐ→ɾ",0.36,False,1.98046875,25,23
Am Mittwochabend gibt er eine Autogrammstunde im Gemeindehaus.,34,16,"aː→ɑː, +ə, n̩→n, eː→ɛ, ɐ→ɾ, -a, o→aʊ, ɔ→oː, ɾ→r, -m, s→ʃ, -a, e→aɪ, e→ə, a→h, o→aʊ",0.32653061224489793,False,4.890625,49,47
Der Altar steht immer im Osten der Kirche.,21,9,"eː→ɛ, ɐ→ɾ, a→ɑː, ɽ→ɾ, e→eː, ɐ→ɜ, eː→ɛ, ɐ→ɾ, ʁ→ɾ",0.3,False,3.26953125,30,30
"Bevor Sie mich auf die Bühne schicken, müssen Sie mich wenigstens kurz briefen.",41,13,"ə→ɪ, ɐ→ɾ, yː→uː, +ə, ŋ̩→n, +y, ɡ→k, ɛ→ə, ʊ→uː, -ʁ, t→ɾ, s→ts, ʁ→ɹ",0.25,False,4.76171875,52,53
"Ich denke, das Prinzip sollte klar geworden sein.",33,5,"ʁ→ɾ, -t, s→ts, aː→ɑː, ɐ→ɾ",0.13157894736842105,False,3.1796875,38,37
Nur wenn es sich nicht vermeiden lässt.,24,3,"ɐ→ɾ, eː→ɛ, ɐ→ɾ",0.1111111111111111,False,2.359375,27,27
Das hast du sehr schön gesagt.,15,5,"+d, ː→uː, e→eː, øː→ø, aː→ɑː",0.2631578947368421,False,2.08984375,19,20
"Aber nicht zu sorgsam, denn sonst könnten Sie unter Nocebo-Effekten leiden.",39,18,"-e, ɾ→ɜ, -t, s→ts, aː→a, l→m, œ→ɛ, +ə, n̩→n, ɐ→ɜ, oː→ʊ, k→ts, ɛ→eː, -f, -ə, -n, +ə, n̩→n",0.32727272727272727,False,5.30078125,55,52
Compositing aussetzen,11,8,"kʰ→k, pʰ→p, ɪ→ə, tʰ→t, -a, o→aʊ, -t, s→ts",0.42105263157894735,True,1.75,19,17
"Man sagt, das Baby sei ganz der Vater.",19,9,"aː→ɑː, ɑː→eː, j→iː, -ɛ, ɪ→aɪ, eː→ɛ, ɐ→ɾ, aː→ɑː, ɐ→ɜ",0.32142857142857145,True,3.330078125,28,27
"Der Reiseführer für Florenz warnt ausdrücklich davor, aus großer Höhe in Heuhaufen zu springen.",47,26,"eː→ɛ, -ɐ, a→r, e→aɪ, e→ə, j→uː, ɾ→r, ɐ→ɜ, ɐ→ɾ, o→oː, ʀ→r, -t, s→ts, a→ɑː, -a, o→aʊ, +y, ɐ→ɾ, øː→ø, -ɔ, ø→aʊ, a→h, o→aʊ, -t, s→ts, ʁ→ɾ",0.3611111111111111,False,6.9609375,72,68
"Okay, alles noch mal von vorn!",17,3,"eː→aɪ, aː→ɑː, ʁ→ɾ",0.15,True,2.0703125,20,20
"Bargeld ist ein Stück Unabhängigkeit von Banken, das man anfassen kann.",46,8,"aː→ɑː, ɐ→ɾ, -ɛ, ɪ→aɪ, +y, ʊ→uː, -k, -a",0.1509433962264151,False,5.078125,53,51
"Ich verstehe das nicht, aber ich lerne jeden Tag neue Dinge.",35,7,"ɛː→ɛ, ɐ→ɾ, -e, ɾ→ɜ, +ə, n̩→n, aː→ɑː",0.17073170731707318,False,4.8203125,41,41
Hiermit taufe ich den Kutter auf den Namen Husum.,28,7,"ɐ→ɾ, -a, o→aʊ, kʰ→k, ʊ→o, tʰ→t, ɐ→ɜ",0.2,False,3.880859375,35,34
Muss man denn ausgerechnet ein Lamm opfern?,25,6,"-a, o→aʊ, ɾ→r, -ɛ, ɪ→aɪ, ɐ→ɾ",0.1935483870967742,False,2.939453125,31,29
"Geh mal in den Schatten, sonst holst du dir noch einen Sonnenbrand.",38,11,"ɟ→ɡ, aː→ɑː, ɔ→oː, +d, ː→uː, ɐ→ɾ, -a, e→aɪ, -n, ɛ→ə, ʁ→r",0.22916666666666666,False,4.19921875,48,47
Und überhaupt: Was ist mit der Strahlung?,23,7,"yː→y, ɐ→ɜ, -d, eː→ɛ, ɐ→ɾ, ɑ→ɑː, +k",0.2413793103448276,False,4.8984375,29,29
Wir haben etwas sehr Merkwürdiges gefunden.,30,6,"ɐ→ɾ, aː→ɑː, e→eː, +ø, +ə, n̩→n",0.17647058823529413,False,2.76953125,34,36
"Wenn ich die Alufolie sehe, läuft mir das Wasser im Munde zusammen.",37,12,"ʊ→uː, l→j, -ɪ, e→ə, -ɔ, ø→aʊ, æ→ɾ, -., ɐ→ɜ, -t, s→ts, u→uː",0.24489795918367346,False,4.390625,49,45
Röhrenbildschirme flimmern bei sechzig Hertz fürchterlich.,26,19,"ʁ→r, -øː, ʁ→r, ɪ→y, ʁ→ɾ, -m, -ɛ, ɾ→ɑː, -t, s→ts, ç→k, eː→ɛ, ɐ→ɾ, t→ts, s→f, f→ø, -t, s→ç, ɐ→ɜ",0.4222222222222222,False,3.73046875,45,40
"Genau wie die Frau, die ich neulich im Internet kennengelernt habe.",39,8,"ʁ→r, -ɔ, ɪ→aʊ, ɐ→ɛ, +ɾ, cʰ→k, ʁ→ɾ, aː→ɑː",0.17391304347826086,True,4.1484375,46,46
Ich mache mir langsam Sorgen.,15,6,"χ→x, æ→ɾ, aː→a, ʁ→ɾ, +ə, ŋ̩→n",0.3,False,1.830078125,20,21
Und wieder gerät der Nachschub ins Hintertreffen.,24,14,"ɐ→ɜ, ɾ→r, ɛː→ɛ, +ə, d→t, eː→ə, +d, ɐ→ɛ, +ɾ, a→ɑː, ç→h, tʰ→t, ɐ→ɜ, ʁ→ɾ",0.4,False,3.23046875,35,38
"Frauen sollten keinen Alkohol trinken, wenn sie unsicher sind, ob sie schwanger sind.",50,8,"ʀ→r, +ə, n̩→n, o→oː, o→oː, ʁ→r, ɐ→ɜ, ɐ→ɜ",0.14035087719298245,False,4.98828125,57,58
Seitdem habe ich Knieschmerzen.,18,6,"-a, e→aɪ, ə→eː, aː→a, +ɑː, ʁ→ɾ",0.2608695652173913,False,2.25,23,23
Das Saugrohr ist nicht eingetaucht.,17,10,"-a, o→aʊ, ɡ→k, ɾ→r, o→oː, -ɾ, -a, e→aɪ, -a, o→aʊ",0.37037037037037035,False,2.720703125,27,23
Ich verpasse meinen Anschlusszug.,19,7,"ɛː→ɛ, ɐ→ɾ, -z, -s, -t, s→ts, u→uː",0.2692307692307692,False,1.990234375,26,23
Redet der immer so geschwollen?,18,4,"ɾ→r, ɐ→ɾ, ɐ→ɜ, -l",0.18181818181818182,False,1.8896484375,22,21
Ich brauche jetzt etwas härteres als Bier.,26,6,"ʁ→ɾ, a→r, o→aʊ, s→ts, ɐ→ə, +r",0.1935483870967742,False,2.9609375,31,32
Dazu muss man sich doch etwas Bedenkzeit nehmen!,30,8,"-t, s→ts, u→uː, ʊ→u, -t, s→ts, -ə, iː→aɪ",0.21052631578947367,False,3.73046875,38,35
Ein einziger Schwachpunkt reicht zur Infiltration.,25,15,"-ɛ, ɪ→aɪ, -t, s→ts, ɐ→ɜ, pʰ→p, -k, ɾ→r, -a, e→aɪ, -t, s→ts, -ɐ, ʁ→ɾ, ɪ→j",0.375,False,3.939453125,40,34
Das Leben erzählt die tollsten Geschichten.,25,7,"-ɛː, ɐ→ɛ, t→ɾ, s→ts, ɛ→eː, +ə, n̩→n",0.22580645161290322,False,2.830078125,31,31
"Wenn Leberflecken größer werden, sollte man zum Hautarzt.",31,14,"+ɜ, ɐ→ɾ, kʰ→k, +ə, n̩→n, øː→yː, eː→ɛ, ɐ→ɾ, +ə, n̩→n, -t, s→ts, ʁ→ɾ, t→ts",0.3333333333333333,False,3.779296875,42,44
Strg loslassen,11,6,"ɛ→ɪ, +t, eː→iː, eː→iː, +ə, n̩→n",0.4,False,1.830078125,15,17
Deutschland würde ohne seine ehrenamtlichen Helfer ganz schön alt aussehen.,43,10,"ɔ→oɪ, ø→t, tʃ→ʃ, +y, e→eː, ɾ→r, e→ə, ɐ→ə, s→ts, øː→yː",0.19230769230769232,False,5.078125,52,53
"Hinter jeder verstecken sich Süßigkeiten, Bildchen oder andere Überraschungen.",48,10,"+ɜ, ɐ→ɾ, ɐ→ɜ, ɐ→ɾ, yː→y, ɐ→ɜ, ʀ→r, yː→y, ɐ→ɜ, ʀ→r",0.17543859649122806,False,5.94921875,57,58
Singen Sie mit Ihren Kindern?,17,4,"i→iː, ɾ→r, -ɛ, ɾ→ɑː",0.19047619047619047,False,1.75,21,20
Die kann man auf einer Skihütte nutzen.,19,8,"-a, e→aɪ, -ɛː, ɐ→ə, +y, tʰ→t, -t, s→ts",0.3076923076923077,False,2.66015625,26,24
"Vorsicht, der Bon kann ausbleichen!",18,8,"ʁ→ɾ, eː→ɛ, ɐ→ɾ, oː→ɔ, -a, o→aʊ, -a, e→aɪ",0.3076923076923077,False,2.58984375,26,24
"Vor allem den Menschen in den neuen Bundesländern, aber auch den vielen, die aus den alten Bundesländern gekommen sind, um beim Aufbau mitzuhelfen.",90,25,"-f, ɐ→ɾ, -z, ç→ʃ, +n, -ɔ, ø→aʊ, ɛ→ə, ɛ→ə, -ɾ, -e, ɾ→ɜ, v→f, +ə, n̩→n, ɛ→ə, -ɛ, ɾ→ɜ, -m, -a, o→aʊ, -a, o→aʊ, -t, s→ts",0.22123893805309736,False,9.4375,113,105
So kurz vor dem Ziel!,9,8,"ʊ→uː, ʁ→ɾ, t→ts, -s, oː→ɔ, ɐ→ɾ, -t, s→ts",0.47058823529411764,False,1.48046875,17,15
"Aber natürlich muss der Staat einen bestimmten Rahmen geltend machen für Datenschutz, und der wird durch eine europäische Datenschutzgrundverordnung in Zukunft gesetzt werden.",93,47,"-e, ɾ→ɜ, yː→y, ʁ→ɾ, eː→ɛ, ɐ→ɾ, aː→ɑː, -a, e→aɪ, -m, ʁ→r, aː→ɑː, ə→ɛ, ɛ→ə, t→d, ɐ→ɾ, a→ɑː, ɛ→ə, -z, ç→ʃ, -t, s→ts, ɐ→ɛ, +ɾ, ʁ→ɾ, ʊ→oː, -ʁ, ɔ→aɪ, ʁ→ɾ, ɔ→oː, pʰ→p, eː→ɛ, -t, s→ts, ɾ→r, d→t, eː→ɛ, ʁ→ɾ, d→t, +k, -t, s→ts, t→ts, eː→ɛ, ɐ→ɾ, +ə, n̩→n",0.34306569343065696,False,10.703125,137,132
Vokabeln und Grammatik kannst du. Jetzt fehlt dir nur noch Sprachpraxis.,45,11,"ɑ→ɑː, ɛ→ə, -l, ʀ→ɾ, ː→uː, -t, e→eː, ɐ→ɾ, ɐ→ɾ, ɾ→r, +r",0.2,False,4.91015625,55,54
Lass den bloß nicht durch!,15,3,"oː→uː, ʊ→oː, ʁ→ç",0.16666666666666666,False,1.51953125,18,18
Das Volk der Elfen versammelte sich unter einem gigantischen Gewölbe.,45,10,"v→f, eː→ɛ, ɐ→ɾ, ɛː→ɛ, ɐ→ɾ, -m, ɛ→ə, -ɐ, a→ɜ, e→aɪ",0.18181818181818182,False,4.76953125,55,53
spiele Cool down von Emby,16,2,"+k, iː→i",0.11764705882352941,True,2.91015625,17,18
"Ihre langen, dünnen Finger passen zum Rest ihrer dürren Gestalt.",35,11,"ʁ→r, n→y, ɐ→ɜ, +t, -t, s→ts, ʁ→r, ʁ→r, ɐ→ɜ, ɾ→y, ɾ→r",0.24444444444444444,False,4.171875,45,45
"Man sagt, in dem ehemaligen Verlies treibt ein Schreckgespenst sein Unwesen.",44,15,"aː→ɑː, e→ə, i→ɪ, eː→ə, ɐ→ɾ, ɾ→r, -a, e→aɪ, -ɛ, ɪ→aɪ, +r, ɛ→ə, s→ʃ, ə→eː, s→z",0.25862068965517243,False,5.98828125,58,57
Mit Bart sieht man automatisch etwas älter aus.,26,6,"aː→ɑː, -a, o→aʊ, o→ʊ, ɑ→ɑː, ɐ→ɜ",0.1875,False,3.490234375,32,31
Ich habe noch nie in meinem Leben eine Bewerbung schreiben müssen.,42,5,"aː→ɑː, +k, +ɾ, ʁ→r, +y",0.11363636363636363,False,3.7890625,44,47
Auch tagsüber sollte man sich Zeit zum Träumen nehmen.,29,12,"a→ɑː, z→s, j→uː, ɐ→ɜ, -t, s→ts, -a, -e, t→aɪ, s→ts, -ɔ, -ø",0.2926829268292683,False,3.869140625,41,36
könntest du mich am Donnerstag erinnern,19,12,"œ→ə, t→d, ː→uː, -n, ɛ→a, -ɾ, ɑ→a, ɛː→ɛ, ɐ→ɾ, -n, ɛ→ə, -ɾ",0.3870967741935484,False,2.279296875,31,27
Das ist tatsächlich voll gut möglich.,24,3,"a→ɑː, øː→ø, k→ɡ",0.1111111111111111,False,2.970703125,27,27
Du bist zu hell,9,3,"+d, ː→uː, s→ts",0.2727272727272727,False,1.4404296875,11,12
Falls du es nicht siehst: Ich bin gerade gestresst.,30,6,"+d, ː→uː, eː→ɛ, ʁ→r, aː→ɑː, -s",0.17142857142857143,False,2.98046875,35,35
Setz dir mal einen Haltepunkt.,17,8,"+s, ts→t, d→t, ɐ→ɾ, aː→ɑː, -a, e→aɪ, e→ə",0.3333333333333333,False,3.9296875,24,24
Dietrich hat ein vorlautes Mundwerk.,22,7,"-d, ɾ→r, -ɛ, ɪ→aɪ, ɐ→ɾ, -a, o→aʊ",0.2413793103448276,False,2.490234375,29,26
Würden Sie einen Tramper mitnehmen?,17,10,"ʁ→y, +ɾ, n̩→ə, z→n, iː→z, a→iː, e→aɪ, a→ɛ, +ɜ, ɐ→ɾ",0.4,False,2.0390625,25,27
Und verglichen mit weniger bürokratischen Ländern klappt das hierzulande auch ganz gut.,53,15,"ɛː→ɛ, ɐ→ɾ, k→ɡ, ə→eː, ɐ→ə, yː→y, ɾ→x, ɔ→oː, ɑ→ɑː, -ɛ, ɾ→ɜ, -d, -t, s→ts, u→uː",0.22058823529411764,False,5.48828125,68,65
"Na ja, die Briten und Franzosen machen es genau so.",30,8,"aː→ɑː, +j, ː→a, ʁ→r, -t, s→ts, o→oː, eː→ɛ",0.21621621621621623,False,3.80078125,37,37
Währenddessen spricht sie mit ihrem Computer.,27,8,"ɛ→eː, ɾ→r, ɛ→ə, +t, -z, ʁ→ɾ, ʁ→r, ɐ→ɜ",0.23529411764705882,True,2.759765625,34,34
Letztlich verschwendet man damit doch unzählige Stunden seines Lebens.,48,8,"t→ts, ɛː→ɛ, ɐ→ɾ, a→ɑː, -t, s→ts, ɛ→ə, -s",0.14285714285714285,False,4.41015625,56,54
Der Fußballer stammte aus armen Verhältnissen und ist heute Multimillionär.,43,17,"eː→ɛ, ɐ→ɾ, ʊ→uː, ɜ→ə, -m, ɛː→ɛ, ɐ→ɾ, -z, ɔ→aʊ, tʰ→t, ɪ→iː, t→l, ʁ→j, eː→oː, +n, ɐ→ɛ, +ɾ",0.29310344827586204,False,5.80078125,58,58
Auch Luft hat ein Gewicht.,16,2,"-ɛ, ɪ→aɪ",0.1111111111111111,False,1.5703125,18,17
Die inneren Organe sind dann bereits ausgebildet.,29,10,"n→ə, ɐ→r, a→ɑː, ɾ→r, -a, -e, t→aɪ, s→ts, -a, o→aʊ",0.2564102564102564,False,3.759765625,39,36
